"","FID","Municipality","idarea","X","Date","n","base","typeI","typeII","typeIII","typeIV"
"7126","9","VIGA",10,764,"2022-07-10",3,1.89409632574839,2.02226798651009,1.63623573856311,1.89420894464103,1.89213825534138
"7127","9","VIGA",10,765,"2022-07-11",3,1.9573341232245,2.08065348297874,1.64992403669177,1.95741975613713,1.95310221158383
"7128","9","VIGA",10,766,"2022-07-12",3,2.01328295944423,2.13675047331687,1.64310023805298,2.01369236168678,2.01263370771538
"7129","9","VIGA",10,767,"2022-07-13",2,2.12273588605198,1.88338193657599,1.39921010891585,2.12344479611239,2.12294437487105
"7130","9","VIGA",10,768,"2022-07-14",2,2.2670599024382,1.96433012458702,1.65917309609391,2.26735206949079,2.26922480366377
"7131","9","VIGA",10,769,"2022-07-15",2,2.46238184043565,2.06400029896788,1.79153321278069,2.46241744009051,2.46587119081284
"7132","9","VIGA",10,770,"2022-07-16",2,2.61929429204325,2.15506869794537,1.88171943342758,2.61945674357223,2.61912723525772
"7133","9","VIGA",10,771,"2022-07-17",2,2.74543811573384,2.22877082269044,1.96739906768729,2.7456409362369,2.74497430251539
"7134","9","VIGA",10,772,"2022-07-18",2,2.83821881563236,2.2912871355767,2.01016544567688,2.83930155019458,2.84170529170652
"7135","9","VIGA",10,773,"2022-07-19",1,2.90953527059384,2.01093071415903,1.78347322438756,2.9099397328881,2.91074486058823
"7136","9","VIGA",10,774,"2022-07-20",1,3.1218229603217,2.11056389238799,2.05222208020023,3.12129691693582,3.12157252429969
"7137","9","VIGA",10,775,"2022-07-21",1,3.44775017911164,2.21653686840637,2.20852765798752,3.44692777438151,3.44408308226091
"7138","9","VIGA",10,776,"2022-07-22",1,3.74314594447754,2.30271534304138,2.34365065769206,3.7420151287325,3.73472631809736
"7139","9","VIGA",10,777,"2022-07-23",1,3.91227633044678,2.36269420706055,2.34514487009073,3.91084951395429,3.910911873895
"7140","9","VIGA",10,778,"2022-07-24",1,3.88988532687888,2.38646473696189,2.02314435966479,3.88991547113379,3.89024407331594
"7141","9","VIGA",10,779,"2022-07-25",1,3.73973804907531,2.37313776151713,2.11780329510748,3.74021290863963,3.74322050126969
"7142","9","VIGA",10,780,"2022-07-26",1,3.60076809507535,2.35571560308447,2.05435714407969,3.60134088757717,3.6058865726081
"7143","9","VIGA",10,781,"2022-07-27",1,3.56704140033341,2.34686236593124,2.01950563919817,3.567339006601,3.56684792343314
"7144","9","VIGA",10,782,"2022-07-28",1,3.61522574789659,2.34882150514195,2.04504004776336,3.61536495959169,3.61471255818307
"7145","9","VIGA",10,783,"2022-07-29",1,3.59388132453086,2.34227383532908,2.0251225328776,3.59389837767229,3.5984282080625
"7146","9","VIGA",10,784,"2022-07-30",1,3.45683300714364,2.32142205788163,1.77888613161764,3.4568980128924,3.45831639340784
"7147","9","VIGA",10,785,"2022-07-31",1,3.37345332814158,2.32781189456756,1.82198707868439,3.37380851491138,3.37322924093139
"7148","9","VIGA",10,786,"2022-08-01",1,3.29347960582699,2.33866071978929,1.7981652106686,3.29399495696622,3.29008220544484
"7149","9","VIGA",10,787,"2022-08-02",1,3.30388751424789,2.37599886049672,1.83357732458543,3.30493543745669,3.2966474140554
"7150","9","VIGA",10,788,"2022-08-03",1,3.77195148598701,2.50513116693325,1.99142708202508,3.77257309458812,3.77078155059403
"7151","9","VIGA",10,789,"2022-08-04",1,4.5129585117203,2.68307273025299,2.09837137462221,4.51236046715666,4.5133401502989
"7152","9","VIGA",10,790,"2022-08-05",1,5.03288517872782,2.82783222971331,2.49198000253319,5.03207077528758,5.03738871791572
"7153","9","VIGA",10,791,"2022-08-06",1,5.21361591642333,2.90387517220019,2.58221743802585,5.2134331507437,5.22090050921737
"7154","9","VIGA",10,792,"2022-08-07",1,5.27552273979745,2.93988822951312,2.6145210428054,5.27499000200341,5.27517494529656
"7155","9","VIGA",10,793,"2022-08-08",1,5.21537136915006,2.94181418899887,2.64214071009956,5.21511774379483,5.21484418635162
"7156","9","VIGA",10,794,"2022-08-09",1,5.08777416960466,2.91889127688399,2.62665160603236,5.08720855209856,5.09460086762122
"7157","9","VIGA",10,795,"2022-08-10",2,5.09226565903182,3.31522631662708,2.43518659915433,5.09224622911417,5.09452017928623
"7158","9","VIGA",10,796,"2022-08-11",2,5.07809790913481,3.26400346189498,2.4375819213817,5.07769497629823,5.07773528705853
"7159","9","VIGA",10,797,"2022-08-12",2,4.83585405794289,3.17132874103237,2.362777968415,4.83444783574832,4.830522856649
"7160","9","VIGA",10,798,"2022-08-13",2,4.0672934865174,3.03636244140775,2.12711067283513,4.06756499186993,4.05807810853638
"7161","9","VIGA",10,799,"2022-08-14",2,3.58244552623576,2.92090209220617,1.88634281224822,3.58378097321385,3.58125193526155
"7162","9","VIGA",10,800,"2022-08-15",2,3.26881119737869,2.8322631438684,1.63899732977984,3.26882072287894,3.26910983819388
"7163","9","VIGA",10,801,"2022-08-16",2,3.11429660612451,2.78116011523397,1.72150238298637,3.11441198504434,3.1172712352196
"7164","9","VIGA",10,802,"2022-08-17",2,3.11173461106377,2.77945008723774,1.72200534935595,3.11186536853854,3.11620121474925
"7165","9","VIGA",10,803,"2022-08-18",2,3.09987872046405,2.77539718438658,1.72981248879418,3.09990941905972,3.09963706517555
"7166","9","VIGA",10,804,"2022-08-19",2,3.04230372237237,2.7557515723309,1.75765123194804,3.04266637816301,3.04178546791877
"7167","9","VIGA",10,805,"2022-08-20",2,2.88429692188586,2.70103729402149,1.71364483723571,2.88492400822667,2.88786972827089
"7168","9","VIGA",10,806,"2022-08-21",2,2.7882555027337,2.63636291625011,1.36103661867767,2.78886152116476,2.78941198261312
"7169","9","VIGA",10,807,"2022-08-22",2,2.65072817641372,2.54374372666871,1.27762329602483,2.65150102453484,2.65055900079599
"7170","9","VIGA",10,808,"2022-08-23",2,2.49605169863717,2.43625878602815,1.22754741478106,2.49655434864048,2.49351153127455
