"","Name","WAIC","DIC"
"1","Base",34818.9835348406,34554.1211810483
"2","TypeI",30180.2178124399,30290.8044666143
"3","TypeII",28817.5811009772,28719.2740617233
"4","TypeIII",34830.9844229439,34555.8615186692
"5","TypeIV",34824.0324959454,34556.5909195573
