Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries
2020-09-13,BATO,13.6080363,124.2977872,0.0,0.0,1.0
2020-09-13,PANDAN,14.0492274,124.1702111,0.0,0.0,1.0
2020-09-14,VIRAC,13.5803594,124.2312028,0.0,1.0,0.0
2020-09-15,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2020-09-15,PANDAN,14.0492274,124.1702111,2.0,0.0,0.0
2020-09-18,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2020-09-20,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
2020-09-20,VIRAC,13.5803594,124.2312028,0.0,0.0,4.0
2020-09-20,BARAS,13.6591045,124.3704682,0.0,0.0,1.0
2020-09-20,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2020-09-20,BATO,13.6080363,124.2977872,0.0,0.0,2.0
2020-09-22,VIGA,13.8715307,124.3087305,1.0,0.0,0.0
2020-09-22,VIRAC,13.5803594,124.2312028,4.0,0.0,0.0
2020-09-22,PANDAN,14.0492274,124.1702111,1.0,0.0,0.0
2020-09-23,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2020-09-24,VIRAC,13.5803594,124.2312028,4.0,0.0,0.0
2020-09-24,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
2020-09-27,VIGA,13.8715307,124.3087305,0.0,0.0,1.0
2020-09-27,BARAS,13.6591045,124.3704682,0.0,0.0,3.0
2020-09-27,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2020-09-27,BATO,13.6080363,124.2977872,0.0,0.0,1.0
2020-09-27,VIRAC,13.5803594,124.2312028,2.0,0.0,8.0
2020-09-29,PANGANIBAN,13.9081674,124.30082,1.0,0.0,0.0
2020-10-02,VIRAC,13.5803594,124.2312028,0.0,1.0,0.0
2020-10-04,PANGANIBAN,13.9081674,124.30082,2.0,0.0,0.0
2020-10-04,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2020-10-04,VIRAC,13.5803594,124.2312028,1.0,0.0,7.0
2020-10-04,PANDAN,14.0492274,124.1702111,0.0,0.0,2.0
2020-10-06,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2020-10-08,PANGANIBAN,13.9081674,124.30082,1.0,0.0,0.0
2020-10-09,VIRAC,13.5803594,124.2312028,1.0,0.0,1.0
2020-10-11,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
2020-10-11,PANDAN,14.0492274,124.1702111,0.0,0.0,1.0
2020-10-11,VIGA,13.8715307,124.3087305,0.0,0.0,1.0
2020-10-11,VIRAC,13.5803594,124.2312028,1.0,0.0,4.0
2020-10-13,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2020-10-15,VIRAC,13.5803594,124.2312028,0.0,0.0,2.0
2020-10-16,VIRAC,13.5803594,124.2312028,1.0,0.0,1.0
2020-10-16,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2020-10-18,PANGANIBAN,13.9081674,124.30082,0.0,0.0,1.0
2020-10-19,BATO,13.6080363,124.2977872,1.0,0.0,0.0
2020-10-19,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2020-10-19,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
2020-10-20,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2020-10-20,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
2020-10-20,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
2020-10-23,PANDAN,14.0492274,124.1702111,1.0,0.0,0.0
2020-10-23,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2020-10-25,SAN ANDRES,13.5989151,124.0969685,0.0,0.0,1.0
2020-10-25,VIRAC,13.5803594,124.2312028,1.0,0.0,4.0
