,Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries
73,2021-11-02,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,3.0
74,2021-11-05,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
75,2021-11-06,SAN MIGUEL,13.6403293,124.3031092,3.0,0.0,4.0
76,2021-11-08,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,5.0
77,2021-11-11,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,2.0
78,2021-11-13,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
79,2021-11-14,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,1.0
80,2021-11-18,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,0.0
81,2022-01-07,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
82,2022-01-12,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
83,2022-01-13,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
84,2022-01-14,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
85,2022-01-15,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
86,2022-01-17,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,1.0
87,2022-01-21,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,0.0
88,2022-01-24,SAN MIGUEL,13.6403293,124.3031092,3.0,0.0,1.0
89,2022-01-26,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,1.0
90,2022-01-27,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
91,2022-01-29,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
92,2022-01-30,SAN MIGUEL,13.6403293,124.3031092,3.0,0.0,2.0
93,2022-02-03,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
94,2022-02-04,SAN MIGUEL,13.6403293,124.3031092,3.0,0.0,0.0
95,2022-02-05,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,3.0
96,2022-02-07,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
97,2022-07-02,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,1.0
98,2022-07-07,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
99,2022-07-08,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
100,2022-07-15,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
101,2022-07-16,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,0.0
102,2022-07-24,SAN MIGUEL,13.6403293,124.3031092,2.0,0.0,0.0
103,2022-08-03,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
104,2022-08-04,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
105,2022-08-17,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0
106,2022-08-23,SAN MIGUEL,13.6403293,124.3031092,0.0,1.0,0.0
107,2023-05-01,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
108,2023-05-16,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
109,2023-05-23,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
110,2023-05-27,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
111,2023-05-30,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,6.0
112,2023-06-05,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
113,2023-06-06,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
114,2023-06-13,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
115,2023-06-20,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
116,2023-08-28,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
117,2023-09-03,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
118,2020-07-16,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
119,2020-09-20,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
120,2020-10-11,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
121,2020-11-08,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
122,2021-01-24,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
123,2021-02-21,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
124,2021-04-19,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
125,2021-04-22,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
126,2021-04-23,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
127,2021-05-26,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
128,2021-06-01,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
129,2021-06-02,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
130,2021-06-09,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
131,2021-06-10,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
132,2021-07-04,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
133,2021-07-06,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
134,2021-07-07,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
135,2021-07-14,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
136,2021-07-17,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
137,2021-07-19,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
138,2021-07-21,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
139,2021-07-27,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,5.0
140,2021-08-15,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
141,2021-08-16,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
142,2021-08-18,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
143,2021-08-28,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
144,2021-09-01,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
145,2021-09-13,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
146,2021-09-15,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
147,2021-09-21,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
148,2021-09-25,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
149,2021-09-27,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
150,2021-10-01,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,9.0
151,2021-10-03,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
152,2021-10-09,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
153,2021-10-12,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
154,2021-10-17,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
155,2021-10-19,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
156,2021-10-23,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
157,2021-10-27,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,5.0
158,2021-11-03,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
159,2021-11-09,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
160,2021-11-10,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
161,2021-11-15,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
162,2021-11-17,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
163,2021-11-20,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
164,2021-11-22,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
165,2021-11-26,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
166,2022-01-22,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
167,2022-01-23,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
168,2022-02-02,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
169,2022-02-08,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
170,2022-02-09,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
171,2022-02-14,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,4.0
172,2022-02-16,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
173,2022-07-17,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
174,2022-07-25,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,3.0
175,2022-08-02,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,2.0
