"","Name","WAIC","DIC"
"1","Base",34818.7084678136,34554.0489946437
"2","TypeI",30181.1031102789,30291.3807571151
"3","TypeII",28818.891570618,28720.3927545804
"4","TypeIII",34829.9242522382,34555.9894487421
"5","TypeIV",34823.5387028752,34556.4431054615
