"","PSGC","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII","typeIV"
"4096",502006000,"Pandan",6,"2022-03-22",1,4.55973739828155,0.433288444397801,0.357839070038202,0.280429040366607,0.433441930662953,0.433472612106332
"4097",502006000,"Pandan",6,"2022-03-23",1,4.55973739828155,0.430778738570433,0.35716191492111,0.275990190539377,0.43094816532271,0.430979806377229
"4098",502006000,"Pandan",6,"2022-03-24",1,4.55973739828155,0.427345960625996,0.355689296843011,0.274702772187499,0.4275288524852,0.427272639358873
"4099",502006000,"Pandan",6,"2022-03-25",1,4.55973739828155,0.426135012689502,0.354303404303749,0.275370345008154,0.426295736253385,0.426190174675725
"4100",502006000,"Pandan",6,"2022-03-26",1,4.55973739828155,0.422453344342297,0.352063211233781,0.276819141215106,0.422612988669051,0.422495619688634
"4101",502006000,"Pandan",6,"2022-03-27",1,4.55973739828155,0.415158303425839,0.348619849029819,0.268256888221823,0.415305546021554,0.415374911787189
"4102",502006000,"Pandan",6,"2022-03-28",1,4.55973739828155,0.410284439660541,0.345784675310296,0.250913334270227,0.410438539863649,0.410643079148913
"4103",502006000,"Pandan",6,"2022-03-29",1,4.55973739828155,0.406182188658749,0.343098307762892,0.248035636786901,0.406349955167585,0.406342535812127
"4104",502006000,"Pandan",6,"2022-03-30",1,4.55973739828155,0.401527867362097,0.340134985120432,0.257572354743171,0.401692788627303,0.401704614639391
"4105",502006000,"Pandan",6,"2022-03-31",1,4.55973739828155,0.398879862180486,0.338138717712082,0.259238550689305,0.399041628407215,0.399153416416444
"4106",502006000,"Pandan",6,"2022-04-01",1,4.55973739828155,0.397368510807054,0.33678682864783,0.258768361028842,0.397530386871477,0.397503714503685
"4107",502006000,"Pandan",6,"2022-04-02",1,4.55973739828155,0.396509920602008,0.335864122480751,0.260975122668961,0.396654411395537,0.396682270898031
"4108",502006000,"Pandan",6,"2022-04-03",1,4.55973739828155,0.396033502312426,0.33522535481236,0.259956537910055,0.396191934353853,0.39622211787554
"4109",502006000,"Pandan",6,"2022-04-04",1,4.55973739828155,0.39579064509457,0.334770809312766,0.261634447962551,0.39596675791896,0.395725240824178
"4110",502006000,"Pandan",6,"2022-04-05",1,4.55973739828155,0.395706192003504,0.334429968786709,0.262535346503938,0.395865720435982,0.395760213147244
