Municipality,PSGC,2021,2022
Boac ,1704001000,54730,54730
Buenavista,1704002000,23988,23988
Gasan,1704003000,34828,34828
Mogpog,1704004000,34043,34043
Santa Cruz,1704005000,56408,56408
Torrijos,1704006000,30524,30524
