,Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries,Year
0,2020-06-06,SAN MIGUEL,13.6403293,124.3031092,1.0,0.0,0.0,2020
1,2020-06-22,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0,2020
2,2020-07-06,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
3,2020-07-08,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0,2020
4,2020-07-10,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0,2020
5,2020-07-12,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
6,2020-07-16,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0,2020
7,2020-07-16,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
8,2020-07-19,GIGMOTO,13.7786693,124.3911728,2.0,0.0,0.0,2020
9,2020-07-19,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
10,2020-07-21,BAGAMANOC,13.9396368,124.2878298,0.0,0.0,1.0,2020
11,2020-07-24,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
12,2020-07-24,BARAS,13.6591045,124.3704682,1.0,0.0,0.0,2020
13,2020-07-25,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0,2020
14,2020-07-30,VIRAC,13.5803594,124.2312028,0.0,0.0,5.0,2020
15,2020-07-30,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0,2020
16,2020-08-03,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
17,2020-08-03,BARAS,13.6591045,124.3704682,1.0,0.0,0.0,2020
18,2020-08-04,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0,2020
19,2020-08-04,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0,2020
20,2020-08-08,BARAS,13.6591045,124.3704682,1.0,0.0,0.0,2020
21,2020-08-09,PANDAN,14.0492274,124.1702111,1.0,0.0,0.0,2020
22,2020-08-09,PANGANIBAN,13.9081674,124.30082,2.0,0.0,0.0,2020
23,2020-08-09,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0,2020
24,2020-08-10,GIGMOTO,13.7786693,124.3911728,0.0,0.0,1.0,2020
25,2020-08-10,BARAS,13.6591045,124.3704682,1.0,0.0,0.0,2020
26,2020-08-10,VIRAC,13.5803594,124.2312028,3.0,0.0,1.0,2020
