"","Name","WAIC","DIC"
"1","Base",34818.7420024447,34554.0184571749
"2","TypeI",30180.231466254,30290.8152358271
"3","TypeII",28817.1267046934,28719.0846384132
"4","TypeIII",34830.9972097725,34556.2017082979
"5","TypeIV",34823.8121032634,34556.4988383916
