"","PSGC","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII"
"7493",405617000,"General Nakar",11,"2021-07-12",6,6.73703274057715,0.428025176880869,0.66390848545563,0.511447256868774,0.687532300718848
"7494",405617000,"General Nakar",11,"2021-07-13",2,6.73703274057715,0.428422736623389,0.390958513837606,0.323270729706787,0.668362615206225
"7495",405617000,"General Nakar",11,"2021-07-14",2,6.73703274057715,0.399987938861825,0.380481157790297,0.329161389167023,0.834323786544557
"7496",405617000,"General Nakar",11,"2021-07-15",2,6.73703274057715,0.391808834844304,0.376130127061176,0.343273777257968,0.594289902610952
"7497",405617000,"General Nakar",11,"2021-07-16",2,6.73703274057715,0.399477060430347,0.373702113772708,0.375354112317393,0.62278138094539
"7498",405617000,"General Nakar",11,"2021-07-17",2,6.73703274057715,0.403622541436595,0.367950475219905,0.365727159812524,0.634193234285647
"7499",405617000,"General Nakar",11,"2021-07-18",1,6.73703274057715,0.399157072852646,0.307675395439525,0.309770574785425,0.617082942852003
"7500",405617000,"General Nakar",11,"2021-07-19",1,6.73703274057715,0.398296524751066,0.303512018764318,0.323784372432527,0.637989857396676
"7501",405617000,"General Nakar",11,"2021-07-20",1,6.73703274057715,0.370333443226567,0.295180811389019,0.273170704261839,0.541227242171194
"7502",405617000,"General Nakar",11,"2021-07-21",1,6.73703274057715,0.374395159486809,0.294686278105819,0.354086705599897,0.556363227255605
"7503",405617000,"General Nakar",11,"2021-07-22",1,6.73703274057715,0.4008124096793,0.300887569327011,0.326531878829337,0.622776994860312
"7504",405617000,"General Nakar",11,"2021-07-23",1,6.73703274057715,0.429047113037362,0.308200671572214,0.313535794945278,0.579080268839598
"7505",405617000,"General Nakar",11,"2021-07-24",1,6.73703274057715,0.438927015680163,0.310965522072726,0.277004102728682,0.535546332001048
"7506",405617000,"General Nakar",11,"2021-07-25",1,6.73703274057715,0.446704244168852,0.314533309333912,0.297616870417537,0.702806086645164
"7507",405617000,"General Nakar",11,"2021-07-26",1,6.73703274057715,0.466706381720343,0.317631212578313,0.27878672068516,0.760926837043432
"7508",405617000,"General Nakar",11,"2021-07-27",1,6.73703274057715,0.455767028447861,0.314984021284223,0.236914010817043,0.733279921660741
"7509",405617000,"General Nakar",11,"2021-07-28",1,6.73703274057715,0.436163428063938,0.30958238912505,0.229380964313565,0.681821368675389
"7510",405617000,"General Nakar",11,"2021-07-29",1,6.73703274057715,0.429762447421534,0.309093560137439,0.310993149519967,0.657049140374087
"7511",405617000,"General Nakar",11,"2021-07-30",1,6.73703274057715,0.455688624515098,0.316105023079076,0.322074905831865,0.716173566426815
"7512",405617000,"General Nakar",11,"2021-07-31",1,6.73703274057715,0.502633811085623,0.323744579328423,0.325401879650408,0.805355533268453
"7513",405617000,"General Nakar",11,"2021-08-01",1,6.73703274057715,0.542904486501295,0.334322906214078,0.321469674338853,0.857270603047601
"7514",405617000,"General Nakar",11,"2021-08-02",1,6.73703274057715,0.599037269304026,0.346230095748094,0.328094383890682,1.06551381498787
"7515",405617000,"General Nakar",11,"2021-08-03",1,6.73703274057715,0.599162463524564,0.349666159538729,0.290251186846903,0.953207797677847
"7516",405617000,"General Nakar",11,"2021-08-04",1,6.73703274057715,0.597194517171312,0.352070976823792,0.285608534262928,0.946923188936547
"7517",405617000,"General Nakar",11,"2021-08-05",1,6.73703274057715,0.589253800390621,0.355890636792829,0.358631877692694,0.904446662796951
"7518",405617000,"General Nakar",11,"2021-08-06",1,6.73703274057715,0.658421959298246,0.366905914678931,0.375591862600621,1.0677834269372
"7519",405617000,"General Nakar",11,"2021-08-07",1,6.73703274057715,0.642454192271493,0.365150024234812,0.381304930355352,1.02557160433527
"7520",405617000,"General Nakar",11,"2021-08-08",1,6.73703274057715,0.59335850638945,0.359121805266815,0.362876298917108,0.930247328743951
"7521",405617000,"General Nakar",11,"2021-08-09",1,6.73703274057715,0.569176287230523,0.355133578684384,0.3411775269564,0.870984258799434
"7522",405617000,"General Nakar",11,"2021-08-10",3,6.73703274057715,0.626201600380979,0.477531942159411,0.402247079487092,0.999893369955427
"7523",405617000,"General Nakar",11,"2021-08-11",3,6.73703274057715,0.65527519536393,0.476175507095114,0.366681079562492,1.04970463171941
"7524",405617000,"General Nakar",11,"2021-08-12",3,6.73703274057715,0.635370225198898,0.472897314404491,0.363832984650895,0.994173843567896
"7525",405617000,"General Nakar",11,"2021-08-13",3,6.73703274057715,0.657470635422155,0.477346882875793,0.44346327745222,1.05703479673099
"7526",405617000,"General Nakar",11,"2021-08-14",3,6.73703274057715,0.684074514213935,0.481679962901044,0.453926009781682,1.08285084464929
"7527",405617000,"General Nakar",11,"2021-08-15",3,6.73703274057715,0.690347814104201,0.484577048613688,0.446563645746954,1.08285420929221
"7528",405617000,"General Nakar",11,"2021-08-16",3,6.73703274057715,0.704767972450577,0.488745703193839,0.484780344686727,1.10991940548553
"7529",405617000,"General Nakar",11,"2021-08-17",3,6.73703274057715,0.710619149388626,0.493125949781955,0.457389586196843,0.898032415618978
"7530",405617000,"General Nakar",11,"2021-08-18",1,6.73703274057715,0.746174192460639,0.377385213845972,0.385859279141486,1.1804733996237
"7531",405617000,"General Nakar",11,"2021-08-19",1,6.73703274057715,0.745523090776675,0.382601331306876,0.408592032564727,1.15349714757548
"7532",405617000,"General Nakar",11,"2021-08-20",1,6.73703274057715,0.796163899031484,0.395117596102635,0.4161768616562,1.25233935116078
"7533",405617000,"General Nakar",11,"2021-08-21",1,6.73703274057715,0.820099030703953,0.407080979215734,0.427108285226687,1.27774498909185
"7534",405617000,"General Nakar",11,"2021-08-22",1,6.73703274057715,0.853696994077156,0.420775260192911,0.354692988925645,1.32117114680226
"7535",405617000,"General Nakar",11,"2021-08-23",1,6.73703274057715,0.872134245339165,0.433080403497976,0.408005506276992,1.0744944371848
"7536",405617000,"General Nakar",11,"2021-08-24",1,6.73703274057715,0.842463266558544,0.435196882849754,0.548938446122896,1.30312524986055
"7537",405617000,"General Nakar",11,"2021-08-25",2,6.73703274057715,0.85258127910704,0.505716027355402,0.617332945319223,1.32102800086281
"7538",405617000,"General Nakar",11,"2021-08-26",3,6.73703274057715,0.892625076856176,0.5908595772737,0.69913882497476,1.38211307177958
"7539",405617000,"General Nakar",11,"2021-08-27",3,6.73703274057715,0.960897110237011,0.608528810596626,0.688013736745477,1.5054172660812
"7540",405617000,"General Nakar",11,"2021-08-28",3,6.73703274057715,0.963973491506957,0.616285508634667,0.708146047175041,1.49059063482357
"7541",405617000,"General Nakar",11,"2021-08-29",2,6.73703274057715,0.983788077342115,0.553827759566039,0.640431362208839,1.5335869072137
"7542",405617000,"General Nakar",11,"2021-08-30",6,6.73703274057715,0.960497282280655,0.870404182876724,0.983016700705926,1.49207177391053
"7543",405617000,"General Nakar",11,"2021-08-31",6,6.73703274057715,0.925759941416307,0.867663019426679,0.849725464872417,1.43862328481494
"7544",405617000,"General Nakar",11,"2021-09-01",5,6.73703274057715,0.888142356107813,0.783811507273578,0.746735299622099,1.92203553113015
"7545",405617000,"General Nakar",11,"2021-09-02",5,6.73703274057715,0.91512509000303,0.798500532607755,0.677822454226333,1.47131094138458
"7546",405617000,"General Nakar",11,"2021-09-03",5,6.73703274057715,0.953502766570105,0.814702005764037,0.687129351167599,1.49058594857471
"7547",405617000,"General Nakar",11,"2021-09-04",3,6.73703274057715,0.942118429943689,0.665296337009892,0.584880641870391,1.45793422963853
"7548",405617000,"General Nakar",11,"2021-09-05",0,6.73703274057715,0.947744291908903,0.462322798778913,0.431189730180525,1.46387433596911
"7549",405617000,"General Nakar",11,"2021-09-06",0,6.73703274057715,0.981324712913606,0.472788629058146,0.443137731547074,1.52173110422004
"7550",405617000,"General Nakar",11,"2021-09-07",6,6.73703274057715,1.00870816827855,0.954950978752815,0.839546085020597,1.54248600914125
"7551",405617000,"General Nakar",11,"2021-09-08",6,6.73703274057715,1.12605287115092,0.994015198905308,0.923887707355764,1.73448461171752
"7552",405617000,"General Nakar",11,"2021-09-09",6,6.73703274057715,1.23830256508971,1.02795744885514,0.938744244563404,1.88382675971797
"7553",405617000,"General Nakar",11,"2021-09-10",6,6.73703274057715,1.3355967312525,1.05830426008938,0.922783760722444,1.71963100416461
