"","Name","WAIC","DIC"
"1","Base",196335.111884266,163715.968786686
"2","TypeI",124790.2288277,125870.165826215
"3","TypeII",128193.255601694,126873.456453284
"4","TypeIII",216034.987468909,191389.25643602
