DateRepConf,count
05/29/2023,2
2022-12-07,2
2022-10-13,2
02/17/2023,2
12/31/2023,2
2021-01-01,2
2021-10-26,2
2021-03-13,2
2020-11-24,2
2021-09-29,2
2021-10-03,2
2021-10-07,2
2020-08-31,2
2021-10-29,2
2021-12-31,2
2020-08-29,2
2020-08-27,2
2020-08-23,2
2021-02-20,2
2021-12-12,2
2021-12-15,2
2021-09-14,2
2020-11-21,2
2021-09-07,2
2021-03-19,2
2021-08-18,2
2021-08-17,2
2021-03-25,2
2020-09-27,2
2021-01-17,2
2021-03-30,2
2021-07-17,2
2021-06-10,2
2020-10-13,2
2020-10-16,2
2020-10-23,2
2021-04-10,2
2021-04-11,2
2021-12-23,2
2021-12-04,2
2022-01-05,2
2022-02-10,2
2021-01-28,2
2022-02-23,2
2021-02-01,2
2020-07-10,2
2020-07-12,2
2020-07-24,2
2020-12-25,2
2021-02-02,2
2021-02-19,2
2021-02-07,2
2020-12-17,2
2020-12-15,2
2021-04-23,2
2022-02-05,2
2020-08-03,2
2022-02-03,2
2020-08-04,2
2022-01-31,2
2022-02-24,2
2021-02-18,2
03/17/2023,1
03/22/2023,1
03/04/2023,1
2022-11-25,1
2020-11-07,1
2022-12-17,1
03/31/2023,1
2020-11-16,1
2020-12-14,1
04/02/2023,1
01/15/2023,1
2022-11-26,1
01/12/2023,1
2020-12-06,1
2020-11-18,1
2020-11-29,1
2022-12-31,1
2022-11-28,1
2020-12-24,1
2022-12-30,1
2020-12-21,1
2020-12-19,1
2022-12-06,1
2022-12-12,1
2022-12-08,1
2020-12-23,1
2022-02-27,1
04/07/2023,1
06/15/2023,1
2020-08-08,1
06/29/2023,1
07/07/2023,1
07/08/2023,1
07/21/2023,1
2020-07-25,1
08/20/2023,1
08/26/2023,1
09/17/2023,1
09/23/2023,1
10/01/2023,1
10/08/2023,1
11/16/2023,1
11/23/2023,1
12/01/2023,1
12/03/2023,1
2020-07-16,1
2020-07-08,1
2020-07-06,1
06/16/2023,1
06/12/2023,1
2020-11-03,1
2020-08-15,1
04/26/2023,1
04/28/2023,1
2020-11-01,1
05/01/2023,1
2020-10-25,1
05/08/2023,1
2020-10-11,1
05/15/2023,1
2020-10-09,1
05/18/2023,1
2020-09-29,1
2020-09-23,1
05/25/2023,1
2020-09-20,1
2020-09-18,1
2020-09-13,1
2020-09-04,1
06/05/2023,1
2020-08-25,1
2020-10-08,1
2022-10-11,1
2021-01-22,1
2022-06-29,1
2022-01-11,1
2022-07-03,1
2022-07-05,1
2022-07-11,1
2021-12-06,1
2021-12-05,1
2021-12-02,1
2021-12-01,1
2020-06-22,1
2021-11-04,1
2021-10-14,1
2022-07-26,1
2021-09-22,1
2022-07-29,1
2021-09-02,1
2022-08-01,1
2021-08-10,1
2021-08-08,1
2021-08-04,1
2022-07-01,1
2022-06-27,1
2021-08-03,1
2022-06-24,1
2022-03-07,1
2022-03-15,1
2022-03-18,1
2022-03-20,1
2022-03-25,1
2022-04-04,1
2022-04-10,1
2022-04-12,1
2022-04-14,1
2022-04-15,1
2022-04-24,1
2022-05-01,1
2022-05-12,1
2022-05-26,1
2022-05-27,1
2022-05-28,1
2022-06-01,1
2022-02-19,1
2022-02-11,1
2022-08-09,1
2021-07-21,1
2022-11-12,1
2021-03-27,1
2021-03-23,1
2021-03-15,1
2021-03-03,1
2021-02-28,1
2021-02-26,1
2021-02-25,1
2022-10-10,1
