,Year,CityMunRes,Sex,Age,AgeGroup,count,AgeGroupVac,AgeGroupHosp
943,2021,SAN MIGUEL,FEMALE,20.0,20 to 24,2,15 to 44,20 to 24
944,2021,SAN MIGUEL,FEMALE,21.0,20 to 24,2,15 to 44,20 to 24
945,2021,SAN MIGUEL,FEMALE,22.0,20 to 24,3,15 to 44,20 to 24
946,2021,SAN MIGUEL,FEMALE,24.0,20 to 24,3,15 to 44,20 to 24
947,2021,SAN MIGUEL,FEMALE,26.0,25 to 29,2,15 to 44,25 to 29
948,2021,SAN MIGUEL,FEMALE,28.0,25 to 29,3,15 to 44,25 to 29
949,2021,SAN MIGUEL,FEMALE,31.0,30 to 34,2,15 to 44,30 to 34
950,2021,SAN MIGUEL,FEMALE,32.0,30 to 34,1,15 to 44,30 to 34
951,2021,SAN MIGUEL,FEMALE,33.0,30 to 34,4,15 to 44,30 to 34
952,2021,SAN MIGUEL,FEMALE,34.0,30 to 34,3,15 to 44,30 to 34
953,2021,SAN MIGUEL,FEMALE,35.0,35 to 39,1,15 to 44,35 to 39
954,2021,SAN MIGUEL,FEMALE,36.0,35 to 39,1,15 to 44,35 to 39
955,2021,SAN MIGUEL,FEMALE,38.0,35 to 39,3,15 to 44,35 to 39
956,2021,SAN MIGUEL,FEMALE,39.0,35 to 39,3,15 to 44,35 to 39
957,2021,SAN MIGUEL,FEMALE,42.0,40 to 44,2,15 to 44,40 to 44
958,2021,SAN MIGUEL,FEMALE,44.0,40 to 44,2,15 to 44,40 to 44
959,2021,SAN MIGUEL,FEMALE,45.0,45 to 49,1,45 to 59,45 to 49
960,2021,SAN MIGUEL,FEMALE,46.0,45 to 49,1,45 to 59,45 to 49
961,2021,SAN MIGUEL,FEMALE,48.0,45 to 49,1,45 to 59,45 to 49
962,2021,SAN MIGUEL,FEMALE,49.0,45 to 49,1,45 to 59,45 to 49
963,2021,SAN MIGUEL,FEMALE,50.0,50 to 54,1,45 to 59,50 to 54
964,2021,SAN MIGUEL,FEMALE,51.0,50 to 54,1,45 to 59,50 to 54
965,2021,SAN MIGUEL,FEMALE,54.0,50 to 54,1,45 to 59,50 to 54
966,2021,SAN MIGUEL,FEMALE,55.0,55 to 59,1,45 to 59,55 to 59
967,2021,SAN MIGUEL,FEMALE,57.0,55 to 59,3,45 to 59,55 to 59
968,2021,SAN MIGUEL,FEMALE,58.0,55 to 59,1,45 to 59,55 to 59
969,2021,SAN MIGUEL,FEMALE,65.0,65 to 69,1,60 to 69,65 to 69
970,2021,SAN MIGUEL,FEMALE,67.0,65 to 69,1,60 to 69,65 to 69
971,2021,SAN MIGUEL,FEMALE,71.0,70 to 74,1,70 to 79,70 to 74
972,2021,SAN MIGUEL,FEMALE,75.0,75 to 79,1,70 to 79,75 to 79
973,2021,SAN MIGUEL,FEMALE,77.0,75 to 79,2,70 to 79,75 to 79
974,2021,SAN MIGUEL,FEMALE,78.0,75 to 79,1,70 to 79,75 to 79
975,2021,SAN MIGUEL,FEMALE,79.0,75 to 79,1,70 to 79,75 to 79
976,2021,SAN MIGUEL,FEMALE,81.0,80+,1,80+,80+
977,2021,SAN MIGUEL,FEMALE,82.0,80+,1,80+,80+
978,2021,SAN MIGUEL,FEMALE,84.0,80+,1,80+,80+
979,2021,SAN MIGUEL,MALE,0.0,0 to 4,1,0 to 14,0 to 11
980,2021,SAN MIGUEL,MALE,1.0,0 to 4,2,0 to 14,0 to 11
981,2021,SAN MIGUEL,MALE,3.0,0 to 4,1,0 to 14,0 to 11
982,2021,SAN MIGUEL,MALE,6.0,5 to 9,2,0 to 14,0 to 11
983,2021,SAN MIGUEL,MALE,10.0,10 to 14,2,0 to 14,0 to 11
984,2021,SAN MIGUEL,MALE,11.0,10 to 14,1,0 to 14,0 to 11
985,2021,SAN MIGUEL,MALE,12.0,10 to 14,1,0 to 14,12 to 14
986,2021,SAN MIGUEL,MALE,13.0,10 to 14,1,0 to 14,12 to 14
987,2021,SAN MIGUEL,MALE,14.0,10 to 14,1,0 to 14,12 to 14
988,2021,SAN MIGUEL,MALE,15.0,15 to 19,2,15 to 44,15 to 19
989,2021,SAN MIGUEL,MALE,16.0,15 to 19,1,15 to 44,15 to 19
990,2021,SAN MIGUEL,MALE,19.0,15 to 19,1,15 to 44,15 to 19
991,2021,SAN MIGUEL,MALE,20.0,20 to 24,3,15 to 44,20 to 24
992,2021,SAN MIGUEL,MALE,22.0,20 to 24,1,15 to 44,20 to 24
993,2021,SAN MIGUEL,MALE,24.0,20 to 24,1,15 to 44,20 to 24
994,2021,SAN MIGUEL,MALE,25.0,25 to 29,1,15 to 44,25 to 29
995,2021,SAN MIGUEL,MALE,26.0,25 to 29,2,15 to 44,25 to 29
996,2021,SAN MIGUEL,MALE,27.0,25 to 29,1,15 to 44,25 to 29
997,2021,SAN MIGUEL,MALE,28.0,25 to 29,2,15 to 44,25 to 29
998,2021,SAN MIGUEL,MALE,29.0,25 to 29,1,15 to 44,25 to 29
999,2021,SAN MIGUEL,MALE,30.0,30 to 34,2,15 to 44,30 to 34
1000,2021,SAN MIGUEL,MALE,32.0,30 to 34,1,15 to 44,30 to 34
1001,2021,SAN MIGUEL,MALE,33.0,30 to 34,3,15 to 44,30 to 34
1002,2021,SAN MIGUEL,MALE,34.0,30 to 34,1,15 to 44,30 to 34
1003,2021,SAN MIGUEL,MALE,35.0,35 to 39,3,15 to 44,35 to 39
1004,2021,SAN MIGUEL,MALE,36.0,35 to 39,1,15 to 44,35 to 39
1005,2021,SAN MIGUEL,MALE,37.0,35 to 39,4,15 to 44,35 to 39
1006,2021,SAN MIGUEL,MALE,38.0,35 to 39,1,15 to 44,35 to 39
1007,2021,SAN MIGUEL,MALE,39.0,35 to 39,2,15 to 44,35 to 39
1008,2021,SAN MIGUEL,MALE,40.0,40 to 44,2,15 to 44,40 to 44
1009,2021,SAN MIGUEL,MALE,41.0,40 to 44,1,15 to 44,40 to 44
1010,2021,SAN MIGUEL,MALE,42.0,40 to 44,1,15 to 44,40 to 44
1011,2021,SAN MIGUEL,MALE,44.0,40 to 44,3,15 to 44,40 to 44
1012,2021,SAN MIGUEL,MALE,46.0,45 to 49,1,45 to 59,45 to 49
1013,2021,SAN MIGUEL,MALE,47.0,45 to 49,2,45 to 59,45 to 49
1014,2021,SAN MIGUEL,MALE,48.0,45 to 49,1,45 to 59,45 to 49
1015,2021,SAN MIGUEL,MALE,50.0,50 to 54,1,45 to 59,50 to 54
1016,2021,SAN MIGUEL,MALE,51.0,50 to 54,1,45 to 59,50 to 54
1017,2021,SAN MIGUEL,MALE,52.0,50 to 54,1,45 to 59,50 to 54
1018,2021,SAN MIGUEL,MALE,55.0,55 to 59,1,45 to 59,55 to 59
1019,2021,SAN MIGUEL,MALE,57.0,55 to 59,1,45 to 59,55 to 59
1020,2021,SAN MIGUEL,MALE,61.0,60 to 64,1,60 to 69,60 to 64
1021,2021,SAN MIGUEL,MALE,64.0,60 to 64,1,60 to 69,60 to 64
1022,2021,SAN MIGUEL,MALE,66.0,65 to 69,2,60 to 69,65 to 69
1023,2021,SAN MIGUEL,MALE,67.0,65 to 69,1,60 to 69,65 to 69
1024,2021,SAN MIGUEL,MALE,69.0,65 to 69,1,60 to 69,65 to 69
1025,2021,SAN MIGUEL,MALE,78.0,75 to 79,2,70 to 79,75 to 79
1026,2021,SAN MIGUEL,MALE,79.0,75 to 79,1,70 to 79,75 to 79
1027,2021,SAN MIGUEL,MALE,93.0,80+,1,80+,80+
1028,2021,VIGA,FEMALE,0.0,0 to 4,1,0 to 14,0 to 11
1029,2021,VIGA,FEMALE,2.0,0 to 4,1,0 to 14,0 to 11
1030,2021,VIGA,FEMALE,3.0,0 to 4,1,0 to 14,0 to 11
1031,2021,VIGA,FEMALE,7.0,5 to 9,1,0 to 14,0 to 11
1032,2021,VIGA,FEMALE,10.0,10 to 14,1,0 to 14,0 to 11
1033,2021,VIGA,FEMALE,13.0,10 to 14,3,0 to 14,12 to 14
1034,2021,VIGA,FEMALE,14.0,10 to 14,1,0 to 14,12 to 14
1035,2021,VIGA,FEMALE,15.0,15 to 19,1,15 to 44,15 to 19
1036,2021,VIGA,FEMALE,16.0,15 to 19,2,15 to 44,15 to 19
1037,2021,VIGA,FEMALE,18.0,15 to 19,1,15 to 44,15 to 19
1038,2021,VIGA,FEMALE,20.0,20 to 24,1,15 to 44,20 to 24
1039,2021,VIGA,FEMALE,21.0,20 to 24,1,15 to 44,20 to 24
1040,2021,VIGA,FEMALE,22.0,20 to 24,3,15 to 44,20 to 24
1041,2021,VIGA,FEMALE,23.0,20 to 24,4,15 to 44,20 to 24
1042,2021,VIGA,FEMALE,24.0,20 to 24,2,15 to 44,20 to 24
1043,2021,VIGA,FEMALE,25.0,25 to 29,1,15 to 44,25 to 29
1044,2021,VIGA,FEMALE,26.0,25 to 29,2,15 to 44,25 to 29
1045,2021,VIGA,FEMALE,27.0,25 to 29,3,15 to 44,25 to 29
1046,2021,VIGA,FEMALE,28.0,25 to 29,3,15 to 44,25 to 29
1047,2021,VIGA,FEMALE,29.0,25 to 29,3,15 to 44,25 to 29
1048,2021,VIGA,FEMALE,30.0,30 to 34,1,15 to 44,30 to 34
1049,2021,VIGA,FEMALE,31.0,30 to 34,4,15 to 44,30 to 34
1050,2021,VIGA,FEMALE,32.0,30 to 34,2,15 to 44,30 to 34
1051,2021,VIGA,FEMALE,33.0,30 to 34,2,15 to 44,30 to 34
1052,2021,VIGA,FEMALE,34.0,30 to 34,1,15 to 44,30 to 34
1053,2021,VIGA,FEMALE,35.0,35 to 39,1,15 to 44,35 to 39
1054,2021,VIGA,FEMALE,36.0,35 to 39,2,15 to 44,35 to 39
1055,2021,VIGA,FEMALE,38.0,35 to 39,1,15 to 44,35 to 39
1056,2021,VIGA,FEMALE,39.0,35 to 39,1,15 to 44,35 to 39
1057,2021,VIGA,FEMALE,40.0,40 to 44,1,15 to 44,40 to 44
1058,2021,VIGA,FEMALE,42.0,40 to 44,1,15 to 44,40 to 44
1059,2021,VIGA,FEMALE,43.0,40 to 44,2,15 to 44,40 to 44
1060,2021,VIGA,FEMALE,44.0,40 to 44,2,15 to 44,40 to 44
1061,2021,VIGA,FEMALE,45.0,45 to 49,2,45 to 59,45 to 49
1062,2021,VIGA,FEMALE,47.0,45 to 49,2,45 to 59,45 to 49
1063,2021,VIGA,FEMALE,48.0,45 to 49,1,45 to 59,45 to 49
1064,2021,VIGA,FEMALE,49.0,45 to 49,5,45 to 59,45 to 49
1065,2021,VIGA,FEMALE,50.0,50 to 54,1,45 to 59,50 to 54
1066,2021,VIGA,FEMALE,51.0,50 to 54,2,45 to 59,50 to 54
1067,2021,VIGA,FEMALE,52.0,50 to 54,3,45 to 59,50 to 54
1068,2021,VIGA,FEMALE,53.0,50 to 54,1,45 to 59,50 to 54
1069,2021,VIGA,FEMALE,54.0,50 to 54,2,45 to 59,50 to 54
1070,2021,VIGA,FEMALE,55.0,55 to 59,1,45 to 59,55 to 59
1071,2021,VIGA,FEMALE,56.0,55 to 59,3,45 to 59,55 to 59
1072,2021,VIGA,FEMALE,57.0,55 to 59,1,45 to 59,55 to 59
1073,2021,VIGA,FEMALE,58.0,55 to 59,2,45 to 59,55 to 59
1074,2021,VIGA,FEMALE,60.0,60 to 64,2,60 to 69,60 to 64
1075,2021,VIGA,FEMALE,63.0,60 to 64,1,60 to 69,60 to 64
1076,2021,VIGA,FEMALE,65.0,65 to 69,1,60 to 69,65 to 69
1077,2021,VIGA,FEMALE,68.0,65 to 69,1,60 to 69,65 to 69
1078,2021,VIGA,FEMALE,70.0,70 to 74,2,70 to 79,70 to 74
1079,2021,VIGA,FEMALE,73.0,70 to 74,2,70 to 79,70 to 74
1080,2021,VIGA,FEMALE,74.0,70 to 74,2,70 to 79,70 to 74
1081,2021,VIGA,FEMALE,77.0,75 to 79,1,70 to 79,75 to 79
1082,2021,VIGA,FEMALE,78.0,75 to 79,1,70 to 79,75 to 79
1083,2021,VIGA,FEMALE,80.0,80+,1,80+,80+
1084,2021,VIGA,FEMALE,82.0,80+,2,80+,80+
1085,2021,VIGA,FEMALE,83.0,80+,1,80+,80+
1086,2021,VIGA,FEMALE,90.0,80+,1,80+,80+
1087,2021,VIGA,FEMALE,92.0,80+,1,80+,80+
1088,2021,VIGA,MALE,10.0,10 to 14,1,0 to 14,0 to 11
1089,2021,VIGA,MALE,13.0,10 to 14,1,0 to 14,12 to 14
1090,2021,VIGA,MALE,15.0,15 to 19,2,15 to 44,15 to 19
1091,2021,VIGA,MALE,16.0,15 to 19,2,15 to 44,15 to 19
1092,2021,VIGA,MALE,17.0,15 to 19,3,15 to 44,15 to 19
1093,2021,VIGA,MALE,19.0,15 to 19,1,15 to 44,15 to 19
1094,2021,VIGA,MALE,20.0,20 to 24,1,15 to 44,20 to 24
1095,2021,VIGA,MALE,21.0,20 to 24,4,15 to 44,20 to 24
1096,2021,VIGA,MALE,22.0,20 to 24,3,15 to 44,20 to 24
1097,2021,VIGA,MALE,23.0,20 to 24,1,15 to 44,20 to 24
1098,2021,VIGA,MALE,24.0,20 to 24,1,15 to 44,20 to 24
1099,2021,VIGA,MALE,25.0,25 to 29,3,15 to 44,25 to 29
1100,2021,VIGA,MALE,26.0,25 to 29,4,15 to 44,25 to 29
1101,2021,VIGA,MALE,27.0,25 to 29,2,15 to 44,25 to 29
1102,2021,VIGA,MALE,28.0,25 to 29,2,15 to 44,25 to 29
1103,2021,VIGA,MALE,29.0,25 to 29,2,15 to 44,25 to 29
1104,2021,VIGA,MALE,30.0,30 to 34,3,15 to 44,30 to 34
1105,2021,VIGA,MALE,31.0,30 to 34,2,15 to 44,30 to 34
1106,2021,VIGA,MALE,32.0,30 to 34,4,15 to 44,30 to 34
1107,2021,VIGA,MALE,34.0,30 to 34,1,15 to 44,30 to 34
1108,2021,VIGA,MALE,36.0,35 to 39,1,15 to 44,35 to 39
1109,2021,VIGA,MALE,37.0,35 to 39,2,15 to 44,35 to 39
1110,2021,VIGA,MALE,38.0,35 to 39,3,15 to 44,35 to 39
1111,2021,VIGA,MALE,39.0,35 to 39,3,15 to 44,35 to 39
1112,2021,VIGA,MALE,40.0,40 to 44,3,15 to 44,40 to 44
1113,2021,VIGA,MALE,41.0,40 to 44,2,15 to 44,40 to 44
1114,2021,VIGA,MALE,43.0,40 to 44,1,15 to 44,40 to 44
1115,2021,VIGA,MALE,45.0,45 to 49,2,45 to 59,45 to 49
1116,2021,VIGA,MALE,47.0,45 to 49,2,45 to 59,45 to 49
1117,2021,VIGA,MALE,49.0,45 to 49,1,45 to 59,45 to 49
1118,2021,VIGA,MALE,50.0,50 to 54,2,45 to 59,50 to 54
1119,2021,VIGA,MALE,52.0,50 to 54,1,45 to 59,50 to 54
1120,2021,VIGA,MALE,53.0,50 to 54,3,45 to 59,50 to 54
1121,2021,VIGA,MALE,55.0,55 to 59,2,45 to 59,55 to 59
1122,2021,VIGA,MALE,57.0,55 to 59,2,45 to 59,55 to 59
1123,2021,VIGA,MALE,58.0,55 to 59,2,45 to 59,55 to 59
1124,2021,VIGA,MALE,61.0,60 to 64,1,60 to 69,60 to 64
1125,2021,VIGA,MALE,62.0,60 to 64,1,60 to 69,60 to 64
1126,2021,VIGA,MALE,64.0,60 to 64,1,60 to 69,60 to 64
1127,2021,VIGA,MALE,67.0,65 to 69,1,60 to 69,65 to 69
1128,2021,VIGA,MALE,69.0,65 to 69,2,60 to 69,65 to 69
1129,2021,VIGA,MALE,71.0,70 to 74,1,70 to 79,70 to 74
1130,2021,VIGA,MALE,73.0,70 to 74,1,70 to 79,70 to 74
1131,2021,VIGA,MALE,75.0,75 to 79,1,70 to 79,75 to 79
1132,2021,VIGA,MALE,78.0,75 to 79,1,70 to 79,75 to 79
1133,2021,VIGA,MALE,79.0,75 to 79,1,70 to 79,75 to 79
1134,2021,VIRAC (CAPITAL),FEMALE,0.0,0 to 4,1,0 to 14,0 to 11
1135,2021,VIRAC (CAPITAL),FEMALE,6.0,5 to 9,2,0 to 14,0 to 11
1136,2021,VIRAC (CAPITAL),FEMALE,7.0,5 to 9,1,0 to 14,0 to 11
1137,2021,VIRAC (CAPITAL),FEMALE,8.0,5 to 9,1,0 to 14,0 to 11
1138,2021,VIRAC (CAPITAL),FEMALE,9.0,5 to 9,2,0 to 14,0 to 11
1139,2021,VIRAC (CAPITAL),FEMALE,10.0,10 to 14,2,0 to 14,0 to 11
1140,2021,VIRAC (CAPITAL),FEMALE,12.0,10 to 14,2,0 to 14,12 to 14
1141,2021,VIRAC (CAPITAL),FEMALE,13.0,10 to 14,2,0 to 14,12 to 14
1142,2021,VIRAC (CAPITAL),FEMALE,14.0,10 to 14,4,0 to 14,12 to 14
1143,2021,VIRAC (CAPITAL),FEMALE,15.0,15 to 19,3,15 to 44,15 to 19
1144,2021,VIRAC (CAPITAL),FEMALE,16.0,15 to 19,5,15 to 44,15 to 19
1145,2021,VIRAC (CAPITAL),FEMALE,17.0,15 to 19,6,15 to 44,15 to 19
1146,2021,VIRAC (CAPITAL),FEMALE,18.0,15 to 19,5,15 to 44,15 to 19
1147,2021,VIRAC (CAPITAL),FEMALE,19.0,15 to 19,3,15 to 44,15 to 19
1148,2021,VIRAC (CAPITAL),FEMALE,20.0,20 to 24,4,15 to 44,20 to 24
1149,2021,VIRAC (CAPITAL),FEMALE,21.0,20 to 24,5,15 to 44,20 to 24
1150,2021,VIRAC (CAPITAL),FEMALE,22.0,20 to 24,8,15 to 44,20 to 24
1151,2021,VIRAC (CAPITAL),FEMALE,23.0,20 to 24,13,15 to 44,20 to 24
1152,2021,VIRAC (CAPITAL),FEMALE,24.0,20 to 24,15,15 to 44,20 to 24
1153,2021,VIRAC (CAPITAL),FEMALE,25.0,25 to 29,10,15 to 44,25 to 29
1154,2021,VIRAC (CAPITAL),FEMALE,26.0,25 to 29,21,15 to 44,25 to 29
1155,2021,VIRAC (CAPITAL),FEMALE,27.0,25 to 29,12,15 to 44,25 to 29
1156,2021,VIRAC (CAPITAL),FEMALE,28.0,25 to 29,18,15 to 44,25 to 29
1157,2021,VIRAC (CAPITAL),FEMALE,29.0,25 to 29,7,15 to 44,25 to 29
1158,2021,VIRAC (CAPITAL),FEMALE,30.0,30 to 34,11,15 to 44,30 to 34
1159,2021,VIRAC (CAPITAL),FEMALE,31.0,30 to 34,13,15 to 44,30 to 34
1160,2021,VIRAC (CAPITAL),FEMALE,32.0,30 to 34,9,15 to 44,30 to 34
1161,2021,VIRAC (CAPITAL),FEMALE,33.0,30 to 34,11,15 to 44,30 to 34
1162,2021,VIRAC (CAPITAL),FEMALE,34.0,30 to 34,11,15 to 44,30 to 34
1163,2021,VIRAC (CAPITAL),FEMALE,35.0,35 to 39,8,15 to 44,35 to 39
1164,2021,VIRAC (CAPITAL),FEMALE,36.0,35 to 39,8,15 to 44,35 to 39
1165,2021,VIRAC (CAPITAL),FEMALE,37.0,35 to 39,7,15 to 44,35 to 39
1166,2021,VIRAC (CAPITAL),FEMALE,38.0,35 to 39,8,15 to 44,35 to 39
1167,2021,VIRAC (CAPITAL),FEMALE,39.0,35 to 39,6,15 to 44,35 to 39
1168,2021,VIRAC (CAPITAL),FEMALE,40.0,40 to 44,8,15 to 44,40 to 44
1169,2021,VIRAC (CAPITAL),FEMALE,41.0,40 to 44,8,15 to 44,40 to 44
1170,2021,VIRAC (CAPITAL),FEMALE,42.0,40 to 44,12,15 to 44,40 to 44
1171,2021,VIRAC (CAPITAL),FEMALE,43.0,40 to 44,12,15 to 44,40 to 44
1172,2021,VIRAC (CAPITAL),FEMALE,44.0,40 to 44,8,15 to 44,40 to 44
1173,2021,VIRAC (CAPITAL),FEMALE,45.0,45 to 49,7,45 to 59,45 to 49
1174,2021,VIRAC (CAPITAL),FEMALE,46.0,45 to 49,13,45 to 59,45 to 49
1175,2021,VIRAC (CAPITAL),FEMALE,47.0,45 to 49,11,45 to 59,45 to 49
1176,2021,VIRAC (CAPITAL),FEMALE,48.0,45 to 49,9,45 to 59,45 to 49
1177,2021,VIRAC (CAPITAL),FEMALE,49.0,45 to 49,10,45 to 59,45 to 49
1178,2021,VIRAC (CAPITAL),FEMALE,50.0,50 to 54,5,45 to 59,50 to 54
1179,2021,VIRAC (CAPITAL),FEMALE,51.0,50 to 54,7,45 to 59,50 to 54
1180,2021,VIRAC (CAPITAL),FEMALE,52.0,50 to 54,14,45 to 59,50 to 54
1181,2021,VIRAC (CAPITAL),FEMALE,53.0,50 to 54,14,45 to 59,50 to 54
1182,2021,VIRAC (CAPITAL),FEMALE,54.0,50 to 54,10,45 to 59,50 to 54
1183,2021,VIRAC (CAPITAL),FEMALE,55.0,55 to 59,3,45 to 59,55 to 59
1184,2021,VIRAC (CAPITAL),FEMALE,56.0,55 to 59,10,45 to 59,55 to 59
1185,2021,VIRAC (CAPITAL),FEMALE,57.0,55 to 59,7,45 to 59,55 to 59
1186,2021,VIRAC (CAPITAL),FEMALE,58.0,55 to 59,4,45 to 59,55 to 59
1187,2021,VIRAC (CAPITAL),FEMALE,59.0,55 to 59,9,45 to 59,55 to 59
1188,2021,VIRAC (CAPITAL),FEMALE,60.0,60 to 64,8,60 to 69,60 to 64
1189,2021,VIRAC (CAPITAL),FEMALE,61.0,60 to 64,2,60 to 69,60 to 64
1190,2021,VIRAC (CAPITAL),FEMALE,62.0,60 to 64,2,60 to 69,60 to 64
1191,2021,VIRAC (CAPITAL),FEMALE,63.0,60 to 64,6,60 to 69,60 to 64
1192,2021,VIRAC (CAPITAL),FEMALE,64.0,60 to 64,2,60 to 69,60 to 64
1193,2021,VIRAC (CAPITAL),FEMALE,65.0,65 to 69,2,60 to 69,65 to 69
1194,2021,VIRAC (CAPITAL),FEMALE,66.0,65 to 69,6,60 to 69,65 to 69
1195,2021,VIRAC (CAPITAL),FEMALE,67.0,65 to 69,2,60 to 69,65 to 69
1196,2021,VIRAC (CAPITAL),FEMALE,68.0,65 to 69,5,60 to 69,65 to 69
1197,2021,VIRAC (CAPITAL),FEMALE,69.0,65 to 69,5,60 to 69,65 to 69
1198,2021,VIRAC (CAPITAL),FEMALE,70.0,70 to 74,1,70 to 79,70 to 74
1199,2021,VIRAC (CAPITAL),FEMALE,71.0,70 to 74,1,70 to 79,70 to 74
1200,2021,VIRAC (CAPITAL),FEMALE,72.0,70 to 74,2,70 to 79,70 to 74
1201,2021,VIRAC (CAPITAL),FEMALE,73.0,70 to 74,1,70 to 79,70 to 74
1202,2021,VIRAC (CAPITAL),FEMALE,74.0,70 to 74,5,70 to 79,70 to 74
1203,2021,VIRAC (CAPITAL),FEMALE,75.0,75 to 79,1,70 to 79,75 to 79
1204,2021,VIRAC (CAPITAL),FEMALE,76.0,75 to 79,2,70 to 79,75 to 79
1205,2021,VIRAC (CAPITAL),FEMALE,77.0,75 to 79,2,70 to 79,75 to 79
1206,2021,VIRAC (CAPITAL),FEMALE,78.0,75 to 79,1,70 to 79,75 to 79
1207,2021,VIRAC (CAPITAL),FEMALE,79.0,75 to 79,1,70 to 79,75 to 79
1208,2021,VIRAC (CAPITAL),FEMALE,80.0,80+,4,80+,80+
1209,2021,VIRAC (CAPITAL),FEMALE,81.0,80+,4,80+,80+
1210,2021,VIRAC (CAPITAL),FEMALE,82.0,80+,4,80+,80+
1211,2021,VIRAC (CAPITAL),FEMALE,83.0,80+,1,80+,80+
1212,2021,VIRAC (CAPITAL),FEMALE,85.0,80+,2,80+,80+
1213,2021,VIRAC (CAPITAL),FEMALE,86.0,80+,1,80+,80+
1214,2021,VIRAC (CAPITAL),FEMALE,87.0,80+,2,80+,80+
1215,2021,VIRAC (CAPITAL),FEMALE,88.0,80+,2,80+,80+
1216,2021,VIRAC (CAPITAL),FEMALE,90.0,80+,1,80+,80+
1217,2021,VIRAC (CAPITAL),FEMALE,94.0,80+,1,80+,80+
1218,2021,VIRAC (CAPITAL),FEMALE,100.0,80+,1,80+,80+
1219,2021,VIRAC (CAPITAL),MALE,0.0,0 to 4,1,0 to 14,0 to 11
1220,2021,VIRAC (CAPITAL),MALE,1.0,0 to 4,1,0 to 14,0 to 11
1221,2021,VIRAC (CAPITAL),MALE,2.0,0 to 4,1,0 to 14,0 to 11
1222,2021,VIRAC (CAPITAL),MALE,3.0,0 to 4,1,0 to 14,0 to 11
1223,2021,VIRAC (CAPITAL),MALE,6.0,5 to 9,2,0 to 14,0 to 11
1224,2021,VIRAC (CAPITAL),MALE,8.0,5 to 9,2,0 to 14,0 to 11
1225,2021,VIRAC (CAPITAL),MALE,10.0,10 to 14,1,0 to 14,0 to 11
1226,2021,VIRAC (CAPITAL),MALE,11.0,10 to 14,2,0 to 14,0 to 11
1227,2021,VIRAC (CAPITAL),MALE,12.0,10 to 14,2,0 to 14,12 to 14
1228,2021,VIRAC (CAPITAL),MALE,15.0,15 to 19,3,15 to 44,15 to 19
1229,2021,VIRAC (CAPITAL),MALE,17.0,15 to 19,3,15 to 44,15 to 19
1230,2021,VIRAC (CAPITAL),MALE,18.0,15 to 19,1,15 to 44,15 to 19
1231,2021,VIRAC (CAPITAL),MALE,19.0,15 to 19,1,15 to 44,15 to 19
1232,2021,VIRAC (CAPITAL),MALE,20.0,20 to 24,4,15 to 44,20 to 24
1233,2021,VIRAC (CAPITAL),MALE,21.0,20 to 24,9,15 to 44,20 to 24
1234,2021,VIRAC (CAPITAL),MALE,22.0,20 to 24,8,15 to 44,20 to 24
1235,2021,VIRAC (CAPITAL),MALE,23.0,20 to 24,10,15 to 44,20 to 24
1236,2021,VIRAC (CAPITAL),MALE,24.0,20 to 24,14,15 to 44,20 to 24
1237,2021,VIRAC (CAPITAL),MALE,25.0,25 to 29,14,15 to 44,25 to 29
1238,2021,VIRAC (CAPITAL),MALE,26.0,25 to 29,9,15 to 44,25 to 29
1239,2021,VIRAC (CAPITAL),MALE,27.0,25 to 29,12,15 to 44,25 to 29
1240,2021,VIRAC (CAPITAL),MALE,28.0,25 to 29,12,15 to 44,25 to 29
1241,2021,VIRAC (CAPITAL),MALE,29.0,25 to 29,14,15 to 44,25 to 29
1242,2021,VIRAC (CAPITAL),MALE,30.0,30 to 34,11,15 to 44,30 to 34
1243,2021,VIRAC (CAPITAL),MALE,31.0,30 to 34,13,15 to 44,30 to 34
1244,2021,VIRAC (CAPITAL),MALE,32.0,30 to 34,11,15 to 44,30 to 34
1245,2021,VIRAC (CAPITAL),MALE,33.0,30 to 34,13,15 to 44,30 to 34
1246,2021,VIRAC (CAPITAL),MALE,34.0,30 to 34,3,15 to 44,30 to 34
1247,2021,VIRAC (CAPITAL),MALE,35.0,35 to 39,10,15 to 44,35 to 39
1248,2021,VIRAC (CAPITAL),MALE,36.0,35 to 39,6,15 to 44,35 to 39
1249,2021,VIRAC (CAPITAL),MALE,37.0,35 to 39,7,15 to 44,35 to 39
1250,2021,VIRAC (CAPITAL),MALE,38.0,35 to 39,7,15 to 44,35 to 39
1251,2021,VIRAC (CAPITAL),MALE,39.0,35 to 39,7,15 to 44,35 to 39
1252,2021,VIRAC (CAPITAL),MALE,40.0,40 to 44,9,15 to 44,40 to 44
1253,2021,VIRAC (CAPITAL),MALE,41.0,40 to 44,8,15 to 44,40 to 44
1254,2021,VIRAC (CAPITAL),MALE,42.0,40 to 44,6,15 to 44,40 to 44
1255,2021,VIRAC (CAPITAL),MALE,43.0,40 to 44,12,15 to 44,40 to 44
1256,2021,VIRAC (CAPITAL),MALE,44.0,40 to 44,10,15 to 44,40 to 44
1257,2021,VIRAC (CAPITAL),MALE,45.0,45 to 49,8,45 to 59,45 to 49
1258,2021,VIRAC (CAPITAL),MALE,46.0,45 to 49,7,45 to 59,45 to 49
1259,2021,VIRAC (CAPITAL),MALE,47.0,45 to 49,10,45 to 59,45 to 49
