"","FID","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII","typeIV"
"3957","5","PANDAN",6,"2021-11-03",16,4.55973739828155,3.05106558348184,3.42096501603437,3.73652468136539,3.05265185272936,3.05100025958565
"3958","5","PANDAN",6,"2021-11-04",15,4.55973739828155,3.06964235281176,3.25083831869966,3.85407980154337,3.07227591145711,3.07120503812784
"3959","5","PANDAN",6,"2021-11-05",15,4.55973739828155,3.3711015372305,3.26716719634808,3.88003304214136,3.36998174808256,3.37428160337407
"3960","5","PANDAN",6,"2021-11-06",16,4.55973739828155,3.26348258400206,3.44075521459482,4.00155056069858,3.26513241409191,3.26544729560026
"3961","5","PANDAN",6,"2021-11-07",15,4.55973739828155,3.42216609432863,3.27658638681702,4.04751079170977,3.42136576659929,3.4246936308967
"3962","5","PANDAN",6,"2021-11-08",16,4.55973739828155,3.36017255703543,3.43455089209151,4.01202745585631,3.36408144619321,3.3624820759197
"3963","5","PANDAN",6,"2021-11-09",16,4.55973739828155,2.97201506125989,3.399816171729,3.7250814068414,2.97721835218529,2.97314369038116
"3964","5","PANDAN",6,"2021-11-10",7,4.55973739828155,2.684109919964,1.92240343449263,2.59559829224695,2.68394886951629,2.68498032654634
"3965","5","PANDAN",6,"2021-11-11",12,4.55973739828155,2.85915160621129,2.72391363813916,2.8667468112826,2.8609289678209,2.85986920251464
"3966","5","PANDAN",6,"2021-11-12",12,4.55973739828155,3.14555395242164,2.75281879193769,2.85584183371195,3.14353332819529,3.14501297575916
"3967","5","PANDAN",6,"2021-11-13",12,4.55973739828155,3.21758536117585,2.75991951732719,3.06962896578105,3.21693040764948,3.21818338229817
"3968","5","PANDAN",6,"2021-11-14",10,4.55973739828155,2.95947534485534,2.41007037707424,2.79801739812921,2.96091226542253,2.95940545150522
"3969","5","PANDAN",6,"2021-11-15",13,4.55973739828155,2.75316338222845,2.85792855480788,3.21473954767469,2.7548520981188,2.75452394050479
"3970","5","PANDAN",6,"2021-11-16",12,4.55973739828155,2.43427892093453,2.64461284643637,2.89852687587215,2.43486741127535,2.43659782975325
"3971","5","PANDAN",6,"2021-11-17",11,4.55973739828155,2.1934148233376,2.44267176167171,2.69291128135187,2.19594133750139,2.19470454369058
"3972","5","PANDAN",6,"2021-11-18",13,4.55973739828155,2.29674576147853,2.75370540405233,2.97149742070964,2.29752340371687,2.29832461166754
"3973","5","PANDAN",6,"2021-11-19",11,4.55973739828155,2.33627312809773,2.40289461060897,2.61605922994065,2.33595713518713,2.33790005367496
"3974","5","PANDAN",6,"2021-11-20",11,4.55973739828155,2.19852495201719,2.35100577066148,2.55106585261274,2.19905741460942,2.19931860081328
"3975","5","PANDAN",6,"2021-11-21",11,4.55973739828155,1.97618799907171,2.28127207895106,2.19034414732435,1.97711087813337,1.97680970372363
"3976","5","PANDAN",6,"2021-11-22",11,4.55973739828155,1.81794229419138,2.22611739828473,2.13161797561653,1.81908963657845,1.81847380251983
"3977","5","PANDAN",6,"2021-11-23",8,4.55973739828155,1.61549552567096,1.71920395480632,1.63953016953276,1.61602406267332,1.61517276411126
"3978","5","PANDAN",6,"2021-11-24",8,4.55973739828155,1.47444126226098,1.67367196082378,1.50090130173124,1.4753030471199,1.47467139365678
"3979","5","PANDAN",6,"2021-11-25",7,4.55973739828155,1.46701415453496,1.5021447168658,1.3838535281304,1.4672447411423,1.4670250464945
"3980","5","PANDAN",6,"2021-11-26",10,4.55973739828155,1.38873114046286,1.87660595757259,1.69926092595019,1.3891869315189,1.38942790374415
"3981","5","PANDAN",6,"2021-11-27",8,4.55973739828155,1.18797591742708,1.51672917708284,1.45712121664124,1.18865650755936,1.18909251908407
"3982","5","PANDAN",6,"2021-11-28",7,4.55973739828155,1.02807086213739,1.31528386413666,1.25141003276079,1.02863838064314,1.02857898059028
"3983","5","PANDAN",6,"2021-11-29",7,4.55973739828155,0.895016611346986,1.24693977638044,1.1865424534419,0.895965666589438,0.895522310717542
"3984","5","PANDAN",6,"2021-11-30",4,4.55973739828155,0.812374803276653,0.848290169863809,0.876705573686513,0.812691484927608,0.812963699444302
"3985","5","PANDAN",6,"2021-12-01",4,4.55973739828155,0.765091353129418,0.81260487569532,0.846316515663769,0.765346906039399,0.765363648412398
"3986","5","PANDAN",6,"2021-12-02",4,4.55973739828155,0.727666047220034,0.782212767865517,0.793811801303858,0.728031147489803,0.727940958345022
"3987","5","PANDAN",6,"2021-12-03",4,4.55973739828155,0.671855980079168,0.747887142921541,0.773798986881101,0.672095775544337,0.672141242827208
"3988","5","PANDAN",6,"2021-12-04",4,4.55973739828155,0.61211664219272,0.713533597113062,0.628663475886807,0.612690180325962,0.611988352655179
"3989","5","PANDAN",6,"2021-12-05",2,4.55973739828155,0.563237369145463,0.509053416100713,0.49802039483861,0.563544136469487,0.563304085879525
"3990","5","PANDAN",6,"2021-12-06",2,4.55973739828155,0.534925048274111,0.487328673355142,0.459595192639063,0.53507989912161,0.534971271313729
"3991","5","PANDAN",6,"2021-12-07",2,4.55973739828155,0.512799580051575,0.46888270171525,0.498792261587883,0.512929958239725,0.51309506773466
"3992","5","PANDAN",6,"2021-12-08",3,4.55973739828155,0.507642713902323,0.536081584886838,0.536135048059901,0.507806716036779,0.508117633596273
"3993","5","PANDAN",6,"2021-12-09",3,4.55973739828155,0.501514330279613,0.52774420939555,0.511959880721686,0.501600641162976,0.501724294645185
"3994","5","PANDAN",6,"2021-12-10",3,4.55973739828155,0.49208688217499,0.520148528264377,0.528525357183767,0.492306420659348,0.49231095375113
"3995","5","PANDAN",6,"2021-12-11",3,4.55973739828155,0.485673707061513,0.515043383261584,0.481150034291802,0.485891304232476,0.486005747350153
"3996","5","PANDAN",6,"2021-12-12",3,4.55973739828155,0.484586743744056,0.512270448039932,0.488531311348793,0.484778889432655,0.484748655908591
"3997","5","PANDAN",6,"2021-12-13",3,4.55973739828155,0.478664433865331,0.507038449857083,0.48623772317138,0.47881594624751,0.478857191498331
"3998","5","PANDAN",6,"2021-12-14",3,4.55973739828155,0.465911076484254,0.498508329059662,0.488456919425883,0.466115286986512,0.466130140231223
"3999","5","PANDAN",6,"2021-12-15",2,4.55973739828155,0.455954861932785,0.418206896954056,0.400823329717008,0.456142054361666,0.455859305563784
"4000","5","PANDAN",6,"2021-12-16",2,4.55973739828155,0.445759213991907,0.413784011230566,0.353421672865071,0.445911609863113,0.445802749822455
"4001","5","PANDAN",6,"2021-12-17",2,4.55973739828155,0.431255484314257,0.406387971459705,0.341878885550827,0.431377589092693,0.431289436250138
"4002","5","PANDAN",6,"2021-12-18",1,4.55973739828155,0.408180961866978,0.333032312336163,0.329453065932611,0.408308627738167,0.408413189646629
"4003","5","PANDAN",6,"2021-12-19",1,4.55973739828155,0.394224862528707,0.32546518270117,0.346582590619778,0.394352244243889,0.394589478141156
"4004","5","PANDAN",6,"2021-12-20",1,4.55973739828155,0.384256586532573,0.319199358122626,0.320903327297974,0.384367593164456,0.384407946037064
"4005","5","PANDAN",6,"2021-12-21",1,4.55973739828155,0.375035470195733,0.31326414224562,0.319547090265447,0.375201022614535,0.375193388111721
"4006","5","PANDAN",6,"2021-12-22",1,4.55973739828155,0.371258826286774,0.310122310661691,0.318036762257143,0.371414664982987,0.371508260343566
"4007","5","PANDAN",6,"2021-12-23",1,4.55973739828155,0.371664360521847,0.309262494372586,0.322316816424522,0.371810194282888,0.371787078211818
"4008","5","PANDAN",6,"2021-12-24",1,4.55973739828155,0.368902454477345,0.30701321243119,0.329143373446733,0.369028375149766,0.369057135213611
"4009","5","PANDAN",6,"2021-12-25",1,4.55973739828155,0.362258518464761,0.303073214208942,0.325239895140832,0.362398574455714,0.362438844972118
"4010","5","PANDAN",6,"2021-12-26",1,4.55973739828155,0.357215530954109,0.300210147880555,0.273562340771048,0.357372516529917,0.357146575750465
"4011","5","PANDAN",6,"2021-12-27",1,4.55973739828155,0.352301894999057,0.297998025461861,0.246319460910387,0.35244748249399,0.352341107442424
"4012","5","PANDAN",6,"2021-12-28",1,4.55973739828155,0.349667188786875,0.296776677658854,0.246926227610059,0.349812557466893,0.349702193523013
"4013","5","PANDAN",6,"2021-12-29",1,4.55973739828155,0.348535236163614,0.2963651649537,0.250254263104748,0.348663916392869,0.348732105206548
"4014","5","PANDAN",6,"2021-12-30",1,4.55973739828155,0.348580931679118,0.296702016442953,0.275451960334874,0.348714411770019,0.348897901983819
"4015","5","PANDAN",6,"2021-12-31",1,4.55973739828155,0.34981876361028,0.297727257230733,0.255779772299141,0.349959835208047,0.349948823200079
"4016","5","PANDAN",6,"2022-01-01",1,4.55973739828155,0.34558019758726,0.297342031203689,0.250081399417859,0.345784429128211,0.345719507247564
"4017","5","PANDAN",6,"2022-01-02",1,4.55973739828155,0.345189481821923,0.29970399692088,0.272854111229644,0.345365490092659,0.345420763462325
"4018","5","PANDAN",6,"2022-01-03",1,4.55973739828155,0.348508788706928,0.305189358326941,0.277991514350556,0.348676438484987,0.348629208468685
"4019","5","PANDAN",6,"2022-01-04",1,4.55973739828155,0.360163352092337,0.31543211465007,0.30274978766962,0.360327396474151,0.360323022373366
"4020","5","PANDAN",6,"2022-01-05",1,4.55973739828155,0.384493034656694,0.33229434487637,0.315586330066298,0.384666507158133,0.384689328542544
"4021","5","PANDAN",6,"2022-01-06",1,4.55973739828155,0.423618410002807,0.356464908144318,0.292373080634271,0.423890617044608,0.423540839914937
"4022","5","PANDAN",6,"2022-01-07",1,4.55973739828155,0.472423836295975,0.385873513338571,0.298089435427868,0.472659322445707,0.472474965526356
"4023","5","PANDAN",6,"2022-01-08",1,4.55973739828155,0.521765342702289,0.414649500105399,0.33542391327658,0.521962396721304,0.521806040535364
"4024","5","PANDAN",6,"2022-01-09",1,4.55973739828155,0.582451655084195,0.450797769281056,0.383022118933967,0.58266516959826,0.582776461297934
"4025","5","PANDAN",6,"2022-01-10",1,4.55973739828155,0.661115170138428,0.490812177911235,0.49058163416023,0.661301609524207,0.66173705989343
"4026","5","PANDAN",6,"2022-01-11",1,4.55973739828155,0.741555318921388,0.533770504629346,0.495977389569605,0.741705211874818,0.741920259074881
"4027","5","PANDAN",6,"2022-01-12",1,4.55973739828155,0.866929301550059,0.589036865544974,0.555511121666281,0.867023336909217,0.867417808639639
"4028","5","PANDAN",6,"2022-01-13",4,4.55973739828155,1.10888842668173,0.966464038071891,0.831816200658057,1.10950486902393,1.1096499784675
"4029","5","PANDAN",6,"2022-01-14",4,4.55973739828155,1.30815409454581,1.04142805993626,0.987518405295564,1.30869698924497,1.30860225129338
"4030","5","PANDAN",6,"2022-01-15",6,4.55973739828155,1.50626446202608,1.36305055544587,1.2377901402093,1.50668854122731,1.50676369779632
"4031","5","PANDAN",6,"2022-01-16",6,4.55973739828155,1.68495586220196,1.42691374131571,1.29608670005309,1.68612946127729,1.68548612118022
"4032","5","PANDAN",6,"2022-01-17",5,4.55973739828155,1.90641412434453,1.35763740020188,1.18064020102375,1.90604445517948,1.90607432126117
"4033","5","PANDAN",6,"2022-01-18",5,4.55973739828155,2.06183382011471,1.40982092361916,1.17006159915063,2.06177676006246,2.06219999413981
"4034","5","PANDAN",6,"2022-01-19",6,4.55973739828155,2.29112717333888,1.60061872738135,1.34414263093235,2.29046074977821,2.29108690965812
"4035","5","PANDAN",6,"2022-01-20",7,4.55973739828155,2.36593251777961,1.78232801293781,1.49469089262067,2.36703958150975,2.36706507967545
"4036","5","PANDAN",6,"2022-01-21",11,4.55973739828155,2.48173860964138,2.42529316259084,1.95120653317231,2.48389454967465,2.48399557450916
"4037","5","PANDAN",6,"2022-01-22",9,4.55973739828155,2.41804116416685,2.12193171065601,1.68489839702926,2.41992624620995,2.41942482129464
