"","PSGC","Municipality","idarea","Date","n","exp","base","typeI","typeII","typeIII","typeIV"
"3839",1704006000,"Torrijos",6,"2021-07-08",5,8.15285197172225,1.50283763738348,0.92332234015044,1.07484016771803,1.50248679755893,1.50172942331505
"3840",1704006000,"Torrijos",6,"2021-07-09",3,8.15285197172225,1.37405092574722,0.754358354715414,0.912428492431185,1.37447146092006,1.37515159839204
"3841",1704006000,"Torrijos",6,"2021-07-10",3,8.15285197172225,1.28244478897369,0.740519859172546,0.846223075695556,1.27978911824453,1.27986235947096
"3842",1704006000,"Torrijos",6,"2021-07-11",6,8.15285197172225,1.26529747914206,0.962192809293674,0.967729865233679,1.25908134851811,1.26558108629542
"3843",1704006000,"Torrijos",6,"2021-07-12",7,8.15285197172225,1.23086127032167,1.04101636682195,1.11624120837647,1.22165726696346,1.22564491071871
"3844",1704006000,"Torrijos",6,"2021-07-13",14,8.15285197172225,1.25553546859056,1.65556276520884,1.57402699792837,1.26299557897719,1.26019428987767
"3845",1704006000,"Torrijos",6,"2021-07-14",14,8.15285197172225,1.21857275312346,1.65018731936786,1.55256440167144,1.22483287357567,1.21776174385257
"3846",1704006000,"Torrijos",6,"2021-07-15",14,8.15285197172225,1.19454695857009,1.64634061556819,1.42782988546826,1.19781331860841,1.19548326851093
"3847",1704006000,"Torrijos",6,"2021-07-16",14,8.15285197172225,1.17929762734829,1.64499966259498,1.40396159017367,1.17726918967412,1.17691911820199
"3848",1704006000,"Torrijos",6,"2021-07-17",12,8.15285197172225,1.22829016176016,1.46879687925179,1.40642807061717,1.21881170725219,1.22856749638973
"3849",1704006000,"Torrijos",6,"2021-07-18",20,8.15285197172225,1.31990324367519,2.23910664362102,1.97608756516951,1.31454599010899,1.31413305641158
"3850",1704006000,"Torrijos",6,"2021-07-19",24,8.15285197172225,1.35363644566698,2.64385895682215,2.49171636014907,1.36397262306094,1.35867889694994
"3851",1704006000,"Torrijos",6,"2021-07-20",26,8.15285197172225,1.37699152739972,2.84910527628253,2.47860491821538,1.38538497218967,1.37591966286452
"3852",1704006000,"Torrijos",6,"2021-07-21",19,8.15285197172225,1.29616818311956,2.13351407032102,2.03721105402983,1.29389953627584,1.29715426288046
"3853",1704006000,"Torrijos",6,"2021-07-22",19,8.15285197172225,1.2658037073711,2.12815411804439,1.9599381609959,1.26495787781997,1.26315748741233
"3854",1704006000,"Torrijos",6,"2021-07-23",19,8.15285197172225,1.25482291140458,2.12566758557976,1.910927933496,1.25502353935501,1.25506035794665
"3855",1704006000,"Torrijos",6,"2021-07-24",20,8.15285197172225,1.23496690248814,2.22193508688182,2.06879890224814,1.23734172395299,1.22966702382064
"3856",1704006000,"Torrijos",6,"2021-07-25",21,8.15285197172225,1.24578826715173,2.33284676397414,2.36674239426063,1.24722825712195,1.2506765532436
"3857",1704006000,"Torrijos",6,"2021-07-26",15,8.15285197172225,1.31276907601001,1.77547604706971,1.98677475136871,1.30772780796305,1.31198165467749
"3858",1704006000,"Torrijos",6,"2021-07-27",20,8.15285197172225,1.43145262168296,2.29004671676,2.346994509144,1.42935077047958,1.43251877733097
"3859",1704006000,"Torrijos",6,"2021-07-28",18,8.15285197172225,1.45893369198011,2.11538758783893,2.21964581902698,1.4590039819522,1.4559720382284
"3860",1704006000,"Torrijos",6,"2021-07-29",17,8.15285197172225,1.56706603686436,2.04909433592563,2.31483443958668,1.56352341176779,1.56757104875008
"3861",1704006000,"Torrijos",6,"2021-07-30",18,8.15285197172225,1.91642287632821,2.19470637276841,2.62333936866432,1.90368552455651,1.90803661254456
"3862",1704006000,"Torrijos",6,"2021-07-31",28,8.15285197172225,2.29271007677825,3.25971464578228,3.60318042798211,2.30071724283414,2.30111801874833
"3863",1704006000,"Torrijos",6,"2021-08-01",26,8.15285197172225,2.38452601162283,3.06727233545267,3.15349990791187,2.38859508006545,2.38250739577439
"3864",1704006000,"Torrijos",6,"2021-08-02",28,8.15285197172225,2.23709171065334,3.27071795882983,3.37556891333873,2.24400485345384,2.23896243644087
"3865",1704006000,"Torrijos",6,"2021-08-03",23,8.15285197172225,2.1737388792625,2.74706473681627,3.05530061636305,2.17565469296232,2.16919635412262
"3866",1704006000,"Torrijos",6,"2021-08-04",27,8.15285197172225,2.24587866100996,3.16606320390974,3.45925132584346,2.25615073651934,2.24628343676712
"3867",1704006000,"Torrijos",6,"2021-08-05",27,8.15285197172225,2.31625541561767,3.17082044375458,3.32339833771271,2.32982623327633,2.30620476445473
"3868",1704006000,"Torrijos",6,"2021-08-06",26,8.15285197172225,2.47212857314146,3.07189156387853,3.49109957129962,2.46174951184904,2.4815574416085
"3869",1704006000,"Torrijos",6,"2021-08-07",15,8.15285197172225,2.42648279994813,1.9607698062271,2.59286445878165,2.40337248808397,2.42485812138117
"3870",1704006000,"Torrijos",6,"2021-08-08",21,8.15285197172225,2.48206321411708,2.56094946212611,3.03410561834375,2.47614631944989,2.48431287542155
"3871",1704006000,"Torrijos",6,"2021-08-09",31,8.15285197172225,2.7137313488597,3.62967046918343,3.83013293361966,2.71203880275354,2.70786383531981
"3872",1704006000,"Torrijos",6,"2021-08-10",44,8.15285197172225,3.01843348827744,5.07250296575693,5.01479052784298,3.03043428474294,3.01871109379024
"3873",1704006000,"Torrijos",6,"2021-08-11",39,8.15285197172225,3.14289716673266,4.53483366658561,4.43815586441417,3.14018441460112,3.12906227882565
