"","Name","WAIC","DIC"
"1","Base",34679.5831088518,27301.6338432799
"2","TypeI",21261.1033845136,21489.436449006
"3","TypeII",19665.7623283614,19912.4993687507
"4","TypeIII",33819.3961299656,27168.3220311059
"5","TypeIV",34679.6635679464,27301.5432422196
